access_code,status_code,geocode_status,latitude,longitude,state,ev_level2_evse_num,ev_network,ev_workplace_charging,con_CHADEMO,con_J1772,con_J1772COMBO,con_NEMA520,con_NEMA515,con_TESLA,con_NEMA1450,access_days,access_hours,weekday_access,weekend_access,daily_access,total_weekly_hours,availability_class,is_24_7,primary_use_case,avg_distance_km,area_type,log_avg_distance_km,connector_count,connector_diversity
private,E,200-8,34.208708,-118.444358,CA,95.0,Non-Networked,1.0,True,True,True,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,0.6493309155634227,Rural,0.5003696999536742,3,0.42857142857142855
private,E,200-8,34.241928,-118.390147,CA,17.0,Non-Networked,1.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,1.8391121919802031,Rural,1.0434913948432303,1,0.14285714285714285
public,E,200-9,47.044011,-122.822404,WA,4.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.27896875672783755,Urban,0.24605409440767337,1,0.14285714285714285
public,E,GPS,45.508396,-122.664667,OR,2.0,Non-Networked,0.0,False,True,False,False,True,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.7557510026927238,Rural,0.5628966871476592,2,0.2857142857142857
public,E,GPS,39.15,-123.2091,CA,1.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.48250226041984023,Urban,0.3937313766237178,1,0.14285714285714285
public,E,200-9,38.368755,-121.961192,CA,1.0,Non-Networked,0.0,False,True,False,False,True,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.3966519035099937,Urban,0.3340778749308301,2,0.2857142857142857
public,E,GPS,38.54643,-121.7388,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,20.0,True,False,False,100.0,High,0,Commuter,0.2988761544990676,Urban,0.26149939403567773,1,0.14285714285714285
public,E,GPS,38.5443,-121.738,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.327113449215397,Urban,0.2830062446990654,1,0.14285714285714285
public,E,GPS,38.544538,-121.749713,CA,7.0,Non-Networked,0.0,False,True,False,True,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.561410529788857,Urban,0.4455895984938266,2,0.2857142857142857
public,E,GPS,38.55755,-121.6947,CA,1.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Commuter,0.1968895135849269,Urban,0.1797261195461887,1,0.14285714285714285
public,E,200-9,38.569412,-121.721373,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,2.535368267866888,Rural,1.2628174715368208,1,0.14285714285714285
public,E,GPS,33.84788,-118.13889,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,business,17.0,True,False,False,85.0,High,0,Commuter,0.9613390575450463,Rural,0.6736274325976075,1,0.14285714285714285
public,E,GPS,37.94495,-122.5096,CA,1.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.5027587791107078,Urban,0.40730260495015314,1,0.14285714285714285
public,E,GPS,37.7136,-122.2087,CA,4.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.6096281043900774,Rural,0.4760031612517635,1,0.14285714285714285
public,E,200-8,47.443377,-122.296229,WA,68.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.39712912841099346,Urban,0.33441950865243436,1,0.14285714285714285
public,E,GPS,40.119161,-88.244185,IL,4.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,1.2622864667438292,Rural,0.8163760127981899,1,0.14285714285714285
public,E,GPS,43.608009,-116.197968,ID,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.15437514332932453,Urban,0.14355919613320006,1,0.14285714285714285
public,E,200-9,44.99574,-123.019758,OR,2.0,Non-Networked,0.0,False,False,False,True,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,2.6008053959167716,Rural,1.2811575415282257,1,0.14285714285714285
private,E,GPS,45.508795,-122.8249,OR,6.0,Non-Networked,1.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,0.30327938873554433,Urban,0.2648836947556131,1,0.14285714285714285
public,E,GPS,38.2482,-122.0678,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.2745102729152096,Urban,0.24256200515086962,1,0.14285714285714285
public,E,GPS,44.928439,-124.015824,OR,2.0,ChargePoint Network,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,3.309039208862502,Rural,1.460714957887383,1,0.14285714285714285
private,E,GPS,40.814019,-73.608978,NY,5.0,Non-Networked,0.0,False,False,False,True,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Commuter,3.679506265740997,Rural,1.5431926055908771,1,0.14285714285714285
public,E,GPS,43.083979,-89.363091,WI,2.0,ChargePoint Network,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.7853517720714503,Rural,0.5796154670041141,1,0.14285714285714285
public,E,GPS,44.586123,-123.115389,OR,2.0,ChargePoint Network,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,3.6011485673007306,Rural,1.52630596087169,1,0.14285714285714285
private,E,200-9,45.545898,-122.707102,OR,2.0,Non-Networked,1.0,False,True,False,False,False,False,False,business,8.0,True,False,False,40.0,Medium,0,Workplace,0.788039024536593,Rural,0.5811195023166067,1,0.14285714285714285
public,E,200-9,35.249929,-120.689683,CA,2.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.4981298520275379,Urban,0.4042175649347091,1,0.14285714285714285
public,E,GPS,35.25982,-120.676,CA,4.0,Non-Networked,0.0,False,True,False,False,False,False,False,daily,24.0,True,True,True,168.0,24/7,1,Travel Corridor,0.3891024090013656,Urban,0.328657789637085,1,0.14285714285714285
